x,y
5,196
5.1,210
5.2,194
5.3,214
5.4,202
5.5,192
5.6,194
5.7,196
5.8,198
5.9,198
6,228
6.1,214
6.2,210
6.3,210
6.4,226
6.5,186
6.6,230
6.7,244
6.8,206
6.9,214
7,244
7.1,242
7.2,272
7.3,272
7.4,244
7.5,256
7.6,264
7.7,250
7.8,238
7.9,282
8,270
8.1,284
8.2,278
8.3,266
8.4,270
8.5,268
8.6,282
8.7,258
8.8,272
8.9,264
9,276
9.1,280
9.2,266
9.3,280
9.4,292
9.5,276
9.6,296
9.7,290
9.8,284
9.9,304
10,306
10.1,316
10.2,274
10.3,338
10.4,332
10.5,330
10.6,350
10.7,400
10.8,388
10.9,438
11,578
11.1,814
11.2,1146
11.3,1982
11.4,3278
11.5,3476
11.6,1336
11.7,582
11.8,478
11.9,416
12,372
12.1,318
12.2,394
12.3,362
12.4,372
12.5,348
12.6,336
12.7,354
12.8,366
12.9,346
13,362
13.1,350
13.2,340
13.3,342
13.4,372
13.5,354
13.6,328
13.7,350
13.8,324
13.9,342
14,346
14.1,336
14.2,370
14.3,364
14.4,362
14.5,320
14.6,334
14.7,400
14.8,330
14.9,330
15,312
15.1,374
15.2,324
15.3,364
15.4,382
15.5,348
15.6,348
15.7,336
15.8,364
15.9,338
16,338
16.1,356
16.2,310
16.3,376
16.4,376
16.5,408
16.6,482
16.7,590
16.8,812
16.9,602
17,446
17.1,350
17.2,350
17.3,344
17.4,298
17.5,344
17.6,330
17.7,332
17.8,346
17.9,348
18,386
18.1,346
18.2,322
18.3,336
18.4,322
18.5,350
18.6,314
18.7,360
18.8,358
18.9,348
19,376
19.1,340
19.2,342
19.3,348
19.4,350
19.5,324
19.6,334
19.7,322
19.8,348
19.9,338
20,340
20.1,346
20.2,328
20.3,334
20.4,352
20.5,338
20.6,346
20.7,320
20.8,312
20.9,356
21,344
21.1,334
21.2,332
21.3,344
21.4,336
21.5,334
21.6,340
21.7,336
21.8,356
21.9,376
22,394
22.1,456
22.2,630
22.3,928
22.4,856
22.5,512
22.6,486
22.7,580
22.8,736
22.9,522
23,366
23.1,334
23.2,362
23.3,370
23.4,334
23.5,368
23.6,326
23.7,362
23.8,334
23.9,352
24,372
24.1,332
24.2,320
24.3,350
24.4,356
24.5,374
24.6,374
24.7,342
24.8,436
24.9,554
25,846
25.1,1000
25.2,678
25.3,446
25.4,370
25.5,360
25.6,346
25.7,366
25.8,352
25.9,366
26,352
26.1,342
26.2,334
26.3,354
26.4,328
26.5,352
26.6,328
26.7,336
26.8,334
26.9,382
27,320
27.1,356
27.2,386
27.3,358
27.4,336
27.5,346
27.6,308
27.7,364
27.8,356
27.9,384
28,358
28.1,394
28.2,502
28.3,770
28.4,1132
28.5,716
28.6,456
28.7,404
28.8,340
28.9,376
29,344
29.1,366
29.2,398
29.3,372
29.4,336
29.5,352
29.6,344
29.7,344
29.8,406
29.9,384
30,404
30.1,362
30.2,366
30.3,430
30.4,520
30.5,676
30.6,990
30.7,894
30.8,500
30.9,422
31,460
31.1,566
31.2,806
31.3,1168
31.4,1022
31.5,576
31.6,466
31.7,400
31.8,388
31.9,382
32,346
32.1,348
32.2,340
32.3,338
32.4,362
32.5,358
32.6,410
32.7,398
32.8,448
32.9,728
33,1102
33.1,1442
33.2,980
33.3,556
33.4,448
33.5,570
33.6,904
33.7,1648
33.8,1632
33.9,892
34,474
34.1,438
34.2,432
34.3,480
34.4,522
34.5,606
34.6,792
34.7,1048
34.8,774
34.9,474
35,418
35.1,390
35.2,378
35.3,370
35.4,366
35.5,362
35.6,366
35.7,352
35.8,356
35.9,350
36,390
36.1,376
36.2,362
36.3,386
36.4,450
36.5,488
36.6,560
36.7,536
36.8,412
36.9,382
37,396
37.1,422
37.2,374
37.3,338
37.4,334
37.5,352
37.6,374
37.7,402
37.8,376
37.9,470
38,784
38.1,1184
38.2,1006
38.3,614
38.4,444
38.5,352
38.6,368
38.7,328
38.8,340
38.9,364
39,358
39.1,354
39.2,364
39.3,314
39.4,324
39.5,348
39.6,360
39.7,354
39.8,374
39.9,364
40,310
40.1,326
40.2,372
40.3,366
40.4,336
40.5,346
40.6,314
40.7,334
40.8,340
40.9,328
41,300
41.1,344
41.2,386
41.3,330
41.4,342
41.5,340
41.6,374
41.7,402
41.8,468
41.9,436
42,384
42.1,370
42.2,352
42.3,344
42.4,350
42.5,364
42.6,350
42.7,306
42.8,364
42.9,350
43,360
43.1,316
43.2,358
43.3,348
43.4,358
43.5,348
43.6,334
43.7,372
43.8,372
43.9,402
44,414
44.1,412
44.2,360
44.3,396
44.4,336
44.5,386
44.6,386
44.7,402
44.8,504
44.9,668
45,924
45.1,902
45.2,798
45.3,630
45.4,490
45.5,416
45.6,374
45.7,356
45.8,366
45.9,364
46,382
46.1,384
46.2,478
46.3,528
46.4,504
46.5,488
46.6,520
46.7,456
46.8,408
46.9,360
47,326
47.1,338
47.2,346
47.3,332
47.4,328
47.5,368
47.6,364
47.7,340
47.8,378
47.9,382
48,480
48.1,492
48.2,422
48.3,400
48.4,382
48.5,340
48.6,330
48.7,334
48.8,334
48.9,308
49,358
49.1,336
49.2,326
49.3,376
49.4,356
49.5,310
49.6,332
49.7,342
49.8,364
49.9,370
50,450
50.1,374
50.2,382
50.3,342
50.4,348
50.5,372
50.6,354
50.7,364
50.8,358
50.9,380
51,388
51.1,474
51.2,494
51.3,574
51.4,476
51.5,450
51.6,442
51.7,452
51.8,490
51.9,642
52,600
52.1,496
52.2,394
52.3,376
52.4,356
52.5,366
52.6,328
52.7,338
52.8,376
52.9,380
53,384
53.1,352
53.2,360
53.3,358
53.4,380
53.5,338
53.6,366
53.7,344
